IdImc;IdMes;Lio;Mio;Sio;SD4nio;SD3nio;SD2nio;SD1nio;SD0io;SD1io;SD2io;SD3io;SD4io;Lia;Mia;Sia;SD4nia;SD3nia;SD2nia;SD1nia;SD0ia;SD1ia;SD2ia;SD3ia;SD4ia;Lpo;Mpo;Spo;Sdpo;SD3npo;SD2npo;SD1npo;SD0po;SD1po;SD2po;SD3po;Lpa;Mpa;Spa;Sdpa;SD3npa;SD2npa;SD1npa;SD0pa;SD1pa;SD2pa;SD3pa
151;150;-1.7511;17.8704;0.1172;12.492;13.588;14.684;16.063;17.87;20.375;24.165;30.854;37.543;-1.3621;18.3986;0.13295;12.095;13.379;14.663;16.282;18.399;21.305;25.596;32.708;39.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;151;-1.7461;17.9292;0.11751;12.52;13.622;14.724;16.112;17.929;20.449;24.263;30.998;37.732;-1.3553;18.466;0.13321;12.126;13.418;14.709;16.338;18.466;21.388;25.699;32.835;39.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;152;-1.7408;17.9887;0.11781;12.55;13.658;14.766;16.161;17.989;20.524;24.362;31.138;37.915;-1.3483;18.5333;0.13347;12.156;13.456;14.755;16.393;18.533;21.471;25.802;32.96;40.118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;153;-1.7352;18.0488;0.11811;12.579;13.693;14.807;16.21;18.049;20.599;24.46;31.278;38.096;-1.3413;18.6006;0.13372;12.187;13.494;14.8;16.448;18.601;21.554;25.905;33.083;40.261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;154;-1.7293;18.1096;0.11841;12.609;13.729;14.849;16.26;18.11;20.675;24.559;31.417;38.275;-1.3341;18.6677;0.13397;12.217;13.531;14.846;16.503;18.668;21.637;26.007;33.204;40.402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
156;155;-1.7232;18.171;0.11869;12.639;13.766;14.892;16.311;18.171;20.751;24.658;31.551;38.444;-1.3269;18.7346;0.13421;12.247;13.569;14.891;16.558;18.735;21.719;26.107;33.322;40.538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;156;-1.7168;18.233;0.11898;12.669;13.802;14.935;16.362;18.233;20.829;24.757;31.686;38.616;-1.3195;18.8012;0.13445;12.276;13.606;14.936;16.612;18.801;21.8;26.207;33.439;40.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;157;-1.7102;18.2955;0.11925;12.7;13.839;14.979;16.414;18.296;20.906;24.856;31.816;38.777;-1.3121;18.8675;0.13469;12.305;13.643;14.981;16.667;18.868;21.882;26.307;33.554;40.802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;158;-1.7033;18.3586;0.11952;12.731;13.877;15.023;16.466;18.359;20.984;24.954;31.945;38.936;-1.3046;18.9335;0.13492;12.335;13.68;15.025;16.721;18.934;21.962;26.405;33.666;40.928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;159;-1.6962;18.4221;0.11979;12.762;13.915;15.067;16.519;18.422;21.062;25.053;32.073;39.093;-1.297;18.9991;0.13514;12.364;13.717;15.07;16.775;18.999;22.042;26.501;33.775;41.048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
161;160;-1.6888;18.486;0.12005;12.794;13.953;15.112;16.572;18.486;21.14;25.152;32.197;39.243;-1.2894;19.0642;0.13537;12.392;13.753;15.113;16.828;19.064;22.122;26.598;33.884;41.171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;161;-1.6811;18.5502;0.1203;12.825;13.991;15.157;16.625;18.55;21.219;25.249;32.317;39.385;-1.2816;19.1289;0.13559;12.42;13.788;15.157;16.881;19.129;22.201;26.693;33.989;41.286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;162;-1.6732;18.6148;0.12055;12.857;14.029;15.202;16.679;18.615;21.298;25.347;32.436;39.525;-1.2739;19.1931;0.1358;12.447;13.824;15.2;16.934;19.193;22.279;26.786;34.092;41.397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;163;-1.6651;18.6795;0.12079;12.889;14.068;15.247;16.733;18.68;21.376;25.444;32.551;39.659;-1.2661;19.2567;0.13601;12.475;13.859;15.243;16.986;19.257;22.357;26.879;34.192;41.506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
165;164;-1.6568;18.7445;0.12102;12.921;14.107;15.293;16.787;18.744;21.455;25.54;32.663;39.786;-1.2583;19.3197;0.13622;12.501;13.893;15.285;17.037;19.32;22.433;26.97;34.292;41.614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;165;-1.6482;18.8095;0.12125;12.952;14.145;15.338;16.841;18.81;21.534;25.635;32.772;39.909;-1.2504;19.382;0.13642;12.528;13.927;15.327;17.088;19.382;22.509;27.06;34.387;41.714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;166;-1.6394;18.8746;0.12148;12.984;14.184;15.384;16.895;18.875;21.613;25.731;32.88;40.03;-1.2425;19.4437;0.13662;12.554;13.961;15.368;17.139;19.444;22.584;27.149;34.481;41.814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;167;-1.6304;18.9398;0.1217;13.015;14.222;15.429;16.95;18.94;21.691;25.825;32.985;40.144;-1.2345;19.5045;0.13681;12.579;13.994;15.408;17.188;19.504;22.658;27.235;34.571;41.907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;168;-1.6211;19.005;0.12191;13.047;14.261;15.475;17.004;19.005;21.77;25.918;33.084;40.25;-1.2266;19.5647;0.137;12.604;14.026;15.448;17.238;19.565;22.731;27.321;34.66;41.999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;169;-1.6116;19.0701;0.12212;13.078;14.299;15.521;17.058;19.07;21.848;26.011;33.182;40.353;-1.2186;19.624;0.13719;12.628;14.058;15.488;17.286;19.624;22.803;27.406;34.747;42.088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;170;-1.602;19.1351;0.12233;13.109;14.337;15.566;17.113;19.135;21.926;26.103;33.279;40.454;-1.2107;19.6824;0.13738;12.652;14.089;15.526;17.334;19.682;22.874;27.489;34.833;42.176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;171;-1.5921;19.2;0.12253;13.139;14.375;15.611;17.167;19.2;22.004;26.194;33.371;40.547;-1.2027;19.74;0.13756;12.675;14.119;15.564;17.38;19.74;22.943;27.57;34.914;42.258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;172;-1.5821;19.2648;0.12272;13.17;14.414;15.657;17.221;19.265;22.081;26.284;33.459;40.634;-1.1947;19.7966;0.13774;12.697;14.149;15.601;17.427;19.797;23.012;27.65;34.994;42.338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
174;173;-1.5719;19.3294;0.12291;13.201;14.451;15.702;17.275;19.329;22.158;26.373;33.546;40.718;-1.1867;19.8523;0.13791;12.719;14.179;15.638;17.472;19.852;23.079;27.727;35.07;42.412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
175;174;-1.5615;19.3937;0.1231;13.231;14.489;15.747;17.329;19.394;22.235;26.462;33.631;40.8;-1.1788;19.907;0.13808;12.74;14.207;15.674;17.516;19.907;23.145;27.804;35.145;42.485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176;175;-1.551;19.4578;0.12328;13.261;14.526;15.791;17.382;19.458;22.311;26.549;33.712;40.875;-1.1708;19.9607;0.13825;12.761;14.235;15.709;17.56;19.961;23.21;27.879;35.217;42.555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177;176;-1.5403;19.5217;0.12346;13.29;14.563;15.836;17.435;19.522;22.387;26.635;33.791;40.948;-1.1629;20.0133;0.13841;12.781;14.262;15.743;17.603;20.013;23.273;27.951;35.286;42.621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178;177;-1.5294;19.5853;0.12363;13.319;14.6;15.88;17.489;19.585;22.462;26.72;33.866;41.013;-1.1549;20.0648;0.13858;12.8;14.288;15.776;17.644;20.065;23.336;28.023;35.354;42.685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;178;-1.5185;19.6486;0.1238;13.348;14.636;15.924;17.541;19.649;22.537;26.804;33.941;41.078;-1.147;20.1152;0.13873;12.819;14.314;15.809;17.685;20.115;23.396;28.091;35.417;42.743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;179;-1.5074;19.7117;0.12396;13.377;14.672;15.968;17.594;19.712;22.611;26.887;34.012;41.137;-1.139;20.1644;0.13889;12.836;14.338;15.841;17.725;20.164;23.456;28.159;35.479;42.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
181;180;-1.4961;19.7744;0.12412;13.405;14.708;16.011;17.647;19.774;22.685;26.969;34.081;41.192;-1.1311;20.2125;0.13904;12.853;14.362;15.871;17.764;20.212;23.514;28.224;35.538;42.852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;181;-1.4848;19.8367;0.12428;13.433;14.744;16.054;17.699;19.837;22.758;27.051;34.149;41.247;-1.1232;20.2595;0.1392;12.869;14.385;15.901;17.802;20.26;23.57;28.289;35.597;42.905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;182;-1.4733;19.8987;0.12443;13.461;14.779;16.097;17.75;19.899;22.831;27.13;34.213;41.295;-1.1153;20.3053;0.13934;12.885;14.408;15.93;17.839;20.305;23.625;28.35;35.65;42.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;183;-1.4617;19.9603;0.12458;13.488;14.814;16.14;17.802;19.96;22.903;27.21;34.275;41.341;-1.1074;20.3499;0.13949;12.9;14.429;15.958;17.874;20.35;23.679;28.411;35.703;42.995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;184;-1.45;20.0215;0.12473;13.515;14.848;16.182;17.853;20.022;22.975;27.288;34.337;41.386;-1.0996;20.3934;0.13963;12.914;14.45;15.985;17.909;20.393;23.731;28.469;35.752;43.036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186;185;-1.4382;20.0823;0.12487;13.541;14.882;16.224;17.904;20.082;23.046;27.365;34.395;41.425;-1.0917;20.4357;0.13977;12.927;14.469;16.012;17.943;20.436;23.782;28.525;35.799;43.073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;186;-1.4263;20.1427;0.12501;13.567;14.916;16.265;17.954;20.143;23.116;27.441;34.452;41.462;-1.0838;20.4769;0.13991;12.94;14.488;16.037;17.976;20.477;23.832;28.58;35.844;43.108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188;187;-1.4143;20.2026;0.12514;13.593;14.95;16.306;18.004;20.203;23.186;27.515;34.505;41.495;-1.076;20.517;0.14005;12.952;14.507;16.062;18.008;20.517;23.88;28.634;35.887;43.141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189;188;-1.4022;20.2621;0.12528;13.618;14.982;16.347;18.053;20.262;23.255;27.59;34.559;41.529;-1.0681;20.556;0.14018;12.963;14.524;16.085;18.039;20.556;23.927;28.684;35.927;43.169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;189;-1.39;20.3211;0.12541;13.643;15.015;16.387;18.103;20.321;23.324;27.662;34.61;41.558;-1.0603;20.5938;0.14031;12.973;14.541;16.108;18.069;20.594;23.972;28.734;35.964;43.195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;190;-1.3777;20.3796;0.12554;13.667;15.047;16.427;18.151;20.38;23.391;27.734;34.66;41.585;-1.0525;20.6306;0.14044;12.983;14.557;16.13;18.098;20.631;24.017;28.782;36;43.219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192;191;-1.3653;20.4376;0.12567;13.69;15.078;16.466;18.199;20.438;23.459;27.805;34.708;41.611;-1.0447;20.6663;0.14057;12.992;14.572;16.151;18.126;20.666;24.06;28.828;36.034;43.241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193;192;-1.3529;20.4951;0.12579;13.714;15.109;16.505;18.247;20.495;23.525;27.875;34.754;41.632;-1.0368;20.7008;0.1407;13;14.586;16.172;18.153;20.701;24.101;28.873;36.066;43.259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;193;-1.3403;20.5521;0.12591;13.736;15.14;16.543;18.295;20.552;23.591;27.943;34.797;41.651;-1.029;20.7344;0.14082;13.008;14.6;16.191;18.179;20.734;24.141;28.915;36.094;43.274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195;194;-1.3277;20.6085;0.12603;13.759;15.17;16.581;18.342;20.608;23.656;28.011;34.84;41.67;-1.0212;20.7668;0.14094;13.015;14.613;16.21;18.205;20.767;24.18;28.956;36.121;43.286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
196;195;-1.3149;20.6644;0.12615;13.78;15.199;16.619;18.388;20.664;23.721;28.078;34.881;41.685;-1.0134;20.7982;0.14106;13.022;14.625;16.228;18.229;20.798;24.218;28.996;36.146;43.296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
197;196;-1.3021;20.7197;0.12627;13.801;15.228;16.656;18.434;20.72;23.785;28.143;34.922;41.7;-1.0055;20.8286;0.14118;13.027;14.636;16.245;18.253;20.829;24.254;29.034;36.169;43.304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
198;197;-1.2892;20.7745;0.12638;13.822;15.257;16.692;18.479;20.774;23.847;28.207;34.959;41.711;-0.9977;20.858;0.1413;13.032;14.647;16.261;18.275;20.858;24.29;29.07;36.19;43.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199;198;-1.2762;20.8287;0.1265;13.842;15.285;16.728;18.524;20.829;23.91;28.271;34.997;41.723;-0.9898;20.8863;0.14142;13.036;14.656;16.277;18.297;20.886;24.324;29.105;36.209;43.313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;199;-1.2631;20.8824;0.12661;13.861;15.312;16.763;18.568;20.882;23.972;28.334;35.032;41.73;-0.9819;20.9137;0.14153;13.04;14.666;16.291;18.318;20.914;24.356;29.138;36.225;43.312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;200;-1.2499;20.9355;0.12672;13.88;15.339;16.798;18.612;20.936;24.032;28.395;35.066;41.736;-0.974;20.9401;0.14164;13.043;14.674;16.305;18.338;20.94;24.388;29.17;36.239;43.309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202;201;-1.2366;20.9881;0.12683;13.898;15.365;16.833;18.655;20.988;24.093;28.456;35.098;41.741;-0.9661;20.9656;0.14176;13.045;14.682;16.318;18.357;20.966;24.418;29.201;36.254;43.307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;202;-1.2233;21.04;0.12694;13.916;15.391;16.867;18.698;21.04;24.152;28.515;35.13;41.744;-0.9582;20.9901;0.14187;13.047;14.689;16.331;18.376;20.99;24.448;29.23;36.265;43.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;203;-1.2098;21.0914;0.12704;13.933;15.417;16.9;18.741;21.091;24.211;28.573;35.158;41.743;-0.9503;21.0138;0.14198;13.048;14.695;16.343;18.393;21.014;24.476;29.257;36.275;43.292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
205;204;-1.1962;21.1423;0.12715;13.95;15.441;16.933;18.782;21.142;24.269;28.63;35.187;41.743;-0.9423;21.0367;0.14208;13.049;14.701;16.354;18.411;21.037;24.503;29.283;36.281;43.279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
206;205;-1.1826;21.1925;0.12726;13.965;15.465;16.965;18.823;21.192;24.327;28.687;35.215;41.743;-0.9344;21.0587;0.14219;13.049;14.707;16.365;18.427;21.059;24.53;29.308;36.288;43.268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;206;-1.1688;21.2423;0.12736;13.981;15.489;16.997;18.864;21.242;24.383;28.742;35.24;41.737;-0.9264;21.0801;0.1423;13.048;14.711;16.375;18.443;21.08;24.555;29.333;36.293;43.254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
208;207;-1.155;21.2914;0.12746;13.996;15.512;17.028;18.904;21.291;24.439;28.797;35.264;41.732;-0.9184;21.1007;0.1424;13.047;14.716;16.384;18.458;21.101;24.58;29.355;36.296;43.237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
209;208;-1.141;21.34;0.12756;14.01;15.534;17.059;18.944;21.34;24.494;28.85;35.287;41.724;-0.9104;21.1206;0.1425;13.046;14.719;16.393;18.472;21.121;24.603;29.376;36.297;43.218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210;209;-1.127;21.388;0.12767;14.023;15.556;17.089;18.983;21.388;24.549;28.903;35.31;41.718;-0.9024;21.1399;0.14261;13.044;14.722;16.401;18.486;21.14;24.626;29.398;36.3;43.202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211;210;-1.1129;21.4354;0.12777;14.036;15.577;17.118;19.022;21.435;24.603;28.954;35.331;41.708;-0.8944;21.1586;0.14271;13.042;14.725;16.409;18.499;21.159;24.649;29.418;36.299;43.181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212;211;-1.0986;21.4822;0.12787;14.048;15.598;17.147;19.06;21.482;24.656;29.005;35.351;41.697;-0.8863;21.1768;0.14281;13.039;14.728;16.417;18.512;21.177;24.67;29.436;36.298;43.159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213;212;-1.0843;21.5285;0.12797;14.06;15.618;17.176;19.097;21.528;24.708;29.054;35.369;41.685;-0.8783;21.1944;0.14291;13.036;14.73;16.424;18.525;21.194;24.691;29.455;36.296;43.137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214;213;-1.0699;21.5742;0.12807;14.071;15.637;17.204;19.134;21.574;24.76;29.103;35.387;41.671;-0.8703;21.2116;0.14301;13.032;14.731;16.431;18.537;21.212;24.712;29.472;36.293;43.114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
215;214;-1.0553;21.6193;0.12816;14.081;15.656;17.231;19.171;21.619;24.811;29.15;35.402;41.653;-0.8623;21.2282;0.14311;13.029;14.733;16.437;18.548;21.228;24.731;29.489;36.29;43.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;215;-1.0407;21.6638;0.12826;14.091;15.674;17.258;19.207;21.664;24.861;29.197;35.417;41.638;-0.8542;21.2444;0.1432;13.025;14.734;16.443;18.56;21.244;24.75;29.505;36.284;43.062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217;216;-1.026;21.7077;0.12836;14.1;15.692;17.284;19.242;21.708;24.911;29.243;35.432;41.621;-0.8462;21.2603;0.1433;13.02;14.734;16.448;18.571;21.26;24.769;29.52;36.279;43.038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
218;217;-1.0112;21.751;0.12845;14.108;15.709;17.31;19.277;21.751;24.959;29.287;35.443;41.6;-0.8382;21.2757;0.1434;13.016;14.735;16.454;18.581;21.276;24.788;29.536;36.274;43.013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219;218;-0.9962;21.7937;0.12855;14.116;15.725;17.335;19.311;21.794;25.008;29.331;35.455;41.58;-0.8301;21.2908;0.14349;13.011;14.735;16.459;18.592;21.291;24.805;29.55;36.267;42.984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;219;-0.9812;21.8358;0.12864;14.123;15.741;17.36;19.344;21.836;25.055;29.373;35.465;41.558;-0.8221;21.3055;0.14359;13.006;14.735;16.463;18.601;21.306;24.823;29.564;36.261;42.958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221;220;-0.9661;21.8773;0.12874;14.129;15.756;17.383;19.377;21.877;25.102;29.415;35.476;41.536;-0.814;21.32;0.14368;13;14.734;16.468;18.611;21.32;24.84;29.577;36.252;42.928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;221;-0.9509;21.9182;0.12883;14.135;15.771;17.407;19.41;21.918;25.147;29.455;35.483;41.512;-0.806;21.3341;0.14377;12.995;14.734;16.473;18.621;21.334;24.856;29.589;36.244;42.899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223;222;-0.9356;21.9585;0.12893;14.14;15.784;17.429;19.442;21.958;25.193;29.496;35.492;41.488;-0.798;21.348;0.14386;12.989;14.733;16.477;18.63;21.348;24.873;29.602;36.235;42.869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
224;223;-0.9202;21.9982;0.12902;14.144;15.798;17.452;19.473;21.998;25.237;29.534;35.498;41.461;-0.7899;21.3617;0.14396;12.983;14.732;16.48;18.639;21.362;24.889;29.614;36.228;42.841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
225;224;-0.9048;22.0374;0.12911;14.148;15.811;17.473;19.504;22.037;25.281;29.572;35.503;41.434;-0.7819;21.3752;0.14405;12.977;14.731;16.484;18.648;21.375;24.905;29.626;36.219;42.812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
226;225;-0.8892;22.076;0.1292;14.151;15.823;17.495;19.535;22.076;25.324;29.609;35.507;41.406;-0.7738;21.3884;0.14414;12.971;14.729;16.488;18.657;21.388;24.92;29.637;36.209;42.781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
227;226;-0.8735;22.114;0.1293;14.153;15.834;17.515;19.564;22.114;25.366;29.646;35.512;41.378;-0.7658;21.4014;0.14423;12.964;14.728;16.491;18.665;21.401;24.935;29.649;36.2;42.751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
228;227;-0.8578;22.1514;0.12939;14.155;15.845;17.535;19.594;22.151;25.408;29.681;35.515;41.348;-0.7577;21.4143;0.14432;12.958;14.726;16.494;18.673;21.414;24.951;29.659;36.19;42.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
229;228;-0.8419;22.1883;0.12948;14.156;15.855;17.554;19.622;22.188;25.449;29.716;35.516;41.317;-0.7496;21.4269;0.14441;12.951;14.724;16.497;18.681;21.427;24.965;29.67;36.179;42.689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
